r0,r1,r2,r3,s1,s2,s3,p1,p2,p3,bandwidth,ng0,GBP,avgLoss,loss_at_ng0,delay
0.229792,0.247337,0.305664,0.29374,0.00593,-0.017517,-0.001837,0.023404,-0.034001,0.010267,0.0032,53.8267,0.1687,955.0131,1169.3262,13.9188
0.213316,0.2,0.310876,0.24105,-0.13246,-0.0501,-0.078033,0.113231,0.199742,-0.000673,0.008,29.0046,0.2283,129.4142,102.6249,77.9686
0.342867,0.271678,0.26742,0.253066,-0.004598,0.007763,-0.041146,0.018848,0.03226,0.002106,1e-08,1e-08,1e-08,100000,100000,1e-08
0.2,0.354077,0.263561,0.242802,0.002536,0.021594,-0.01527,0.043413,-0.023719,0.018505,1e-08,1e-08,1e-08,100000,100000,1e-08
0.228604,0.239019,0.379043,0.26723,-0.022579,-0.080796,-0.09581,0.124599,-0.066422,-0.009568,0.0009,-118.3496,0.0994,4485.5161,4058.7769,9.309
0.244288,0.243619,0.342462,0.227293,-0.123526,-0.15244,-0.07051,0.126214,0.305666,-0.002079,0.0102,16.9492,0.1731,386.8228,428.2931,9.2999
0.327506,0.27425,0.25256,0.225928,-0.001932,0.005213,0.002324,-0.09848,-0.0292,-0.083151,1e-08,1e-08,1e-08,100000,100000,1e-08
0.290425,0.226162,0.340472,0.252837,0.061703,0.026889,-0.04179,0.010801,0.01956,0.001072,0.0012,-120.4393,0.144,7223.4385,5085.0916,7.5672
0.2,0.207025,0.294188,0.272386,-0.133107,-0.194626,-0.08162,-0.025664,-0.210475,0.060433,0.0026,10.2287,0.0255,111.8674,125.6598,13.8701
0.2,0.2,0.292582,0.216979,0.121482,-0.097833,-0.07421,0.136457,-0.259401,0.000269,0.004,30.3203,0.1217,332.6443,342.2933,24.6575
0.4,0.217596,0.334087,0.239885,-0.000247,0.002185,-0.092404,-0.136456,0.049819,-0.042682,1e-08,1e-08,1e-08,100000,100000,1e-08
0.219232,0.2,0.354297,0.204651,-0.13246,-0.077632,-0.078033,0.117435,0.208077,0.00038,0.0043,29.1735,0.1247,228.6134,235.1464,34.2673
0.2,0.225294,0.328276,0.249484,-0.126549,-0.116947,-0.077449,-0.106083,-0.138367,-0.046269,0.0155,24.468,0.3784,82.8648,76.8749,84.4143
